Subject,Start Date,End Date,All Day Event,Description,Location
Last Day to Apply to Graduate/Declare Candidacy,02/07/2031,02/07/2031,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/13/2031,06/13/2031,True,,
Classes End,12/07/2030,12/07/2030,True,,
Classes End,01/03/2031,01/03/2031,True,,
Classes End,05/03/2031,05/03/2031,True,,
Classes End,08/08/2031,08/08/2031,True,,
Final Exams,12/09/2030,12/15/2030,True,,
Final Exams,05/05/2031,05/11/2031,True,,
Term Ends,12/14/2030,12/14/2030,True,,
Term Ends,01/03/2031,01/03/2031,True,,
Term Ends,05/10/2031,05/10/2031,True,,
Term Ends,08/08/2031,08/08/2031,True,,
Commencements,12/15/2030,12/15/2030,True,,
Commencements,05/16/2031,05/19/2031,True,,
Commencements,08/09/2031,08/09/2031,True,,
Fall Break,10/07/2030,10/09/2030,True,,
Spring Break,03/17/2031,03/23/2031,True,,
Thanksgiving Break,11/27/2030,12/01/2030,True,,
Memorial Day - University Closed,05/26/2031,05/26/2031,True,,
Junteenth - Class in Session ​,06/19/2030,06/19/2030,True,,
Junteenth - Class in Session ​,06/19/2031,06/19/2031,True,,
Fourth of July - University Closed,07/04/2031,07/04/2031,True,,
Labor Day - University Closed,09/02/2030,09/02/2030,True,,
MLK Day - University Closed,01/20/2031,01/20/2031,True,,
President’s Designated Holiday,12/31/2030,12/31/2030,True,,
Christmas Holiday - University Closed,12/24/2030,12/26/2030,True,,
New Year’s Day - University Closed,01/01/2031,01/01/2031,True,,
Classes/Term Begin,08/25/2031,08/25/2031,True,,
Classes/Term Begin,12/29/2031,12/29/2031,True,,
Classes/Term Begin,01/12/2032,01/12/2032,True,,
Classes/Term Begin,05/17/2032,05/17/2032,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/06/2031,06/06/2031,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/29/2031,09/29/2031,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/03/2032,02/03/2032,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/06/2032,06/06/2032,True,,
Classes End,12/13/2031,12/13/2031,True,,
Classes End,01/29/2032,01/29/2032,True,,
Classes End,05/01/2032,05/01/2032,True,,
Classes End,08/06/2032,08/06/2032,True,,
Final Exams,12/15/2031,12/21/2031,True,,
Final Exams,05/03/2032,05/09/2032,True,,
Term Ends,12/20/2031,12/20/2031,True,,
